runtype,series_X,series_Y,rank,entry_scale,exit_scale,train_start,train_end,test_start,test_end,par_rownumber,returns,volatility,sharpe,sortino
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2008-06-29 00:00:00,2008-12-28 00:00:00,2008-12-28 00:00:00,2009-06-28 00:00:00,35,1.98498558998,115.606647068,0.120156826056,0.131988002232
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2008-12-28 00:00:00,2009-06-28 00:00:00,2009-06-28 00:00:00,2009-12-27 00:00:00,36,1.73077583313,125.77377991,0.126138008163,0.152969235051
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2008-12-28 00:00:00,2009-06-28 00:00:00,2009-06-28 00:00:00,2009-12-27 00:00:00,36,0.0,0.0,nan,nan
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2009-06-28 00:00:00,2009-12-27 00:00:00,2009-12-27 00:00:00,2010-06-27 00:00:00,37,3.31051921844,132.355767736,0.137175378063,0.151676248832
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2009-06-28 00:00:00,2009-12-27 00:00:00,2009-12-27 00:00:00,2010-06-27 00:00:00,37,3.25630998611,99.0316470996,0.153850866336,0.164621480362
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2009-12-27 00:00:00,2010-06-27 00:00:00,2010-06-27 00:00:00,2010-12-26 00:00:00,38,3.7440662384,188.213135959,0.126006598683,0.132726996762
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2009-12-27 00:00:00,2010-06-27 00:00:00,2010-06-27 00:00:00,2010-12-26 00:00:00,38,0.0,0.0,nan,nan
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2010-06-27 00:00:00,2010-12-26 00:00:00,2010-12-26 00:00:00,2011-06-26 00:00:00,39,7.34605312347,263.415422828,-0.0782063837741,-0.539807028532
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2010-06-27 00:00:00,2010-12-26 00:00:00,2010-12-26 00:00:00,2011-06-26 00:00:00,39,0.0,0.0,nan,nan
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2010-12-26 00:00:00,2011-06-26 00:00:00,2011-06-26 00:00:00,2011-12-25 00:00:00,40,2.38110756874,109.866613678,-0.0552187198192,-0.0942623538679
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2010-12-26 00:00:00,2011-06-26 00:00:00,2011-06-26 00:00:00,2011-12-25 00:00:00,40,-0.936628974974,20.8751761343,-0.0921012819337,-0.931154998304
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2011-06-26 00:00:00,2011-12-25 00:00:00,2011-12-25 00:00:00,2012-06-24 00:00:00,41,9.01849555969,316.749839809,0.109255659391,0.110230453864
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2011-06-26 00:00:00,2011-12-25 00:00:00,2011-12-25 00:00:00,2012-06-24 00:00:00,41,-11.6572847366,544.232663204,0.118033476511,0.118666183874
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2011-12-25 00:00:00,2012-06-24 00:00:00,2012-06-24 00:00:00,2012-12-23 00:00:00,42,4.61779594421,141.610141787,0.124680904857,0.129289339214
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2011-12-25 00:00:00,2012-06-24 00:00:00,2012-06-24 00:00:00,2012-12-23 00:00:00,42,-0.542160630226,20.1011206942,0.0276941525863,0.0337210969529
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2012-06-24 00:00:00,2012-12-23 00:00:00,2012-12-23 00:00:00,2013-06-23 00:00:00,43,0.0253031253815,170.973313826,-0.165789408116,-0.897359519823
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2012-06-24 00:00:00,2012-12-23 00:00:00,2012-12-23 00:00:00,2013-06-23 00:00:00,43,-0.629243612289,153.314908002,-0.1781658828,-0.833336780705
train,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2012-12-23 00:00:00,2013-06-23 00:00:00,2013-06-23 00:00:00,2013-12-22 00:00:00,44,4.67925548553,172.071829549,0.0298690131598,0.0483968419617
test,Chevron_Corporation,The_CocaCola_Company,1,1.0,1.0,2012-12-23 00:00:00,2013-06-23 00:00:00,2013-06-23 00:00:00,2013-12-22 00:00:00,44,0.0,0.0,nan,nan
train,Chevron_Corporation,The_CocaCola_Company,1,1.5,0.0,2006-01-01 00:00:00,2006-07-02 00:00:00,2006-07-02 00:00:00,2006-12-31 00:00:00,45,2.56424188614,97.7099150057,0.148139795597,0.171931122965
test,Chevron_Corporation,The_CocaCola_Company,1,1.5,0.0,2006-01-01 00:00:00,2006-07-02 00:00:00,2006-07-02 00:00:00,2006-12-31 00:00:00,45,0.0,0.0,nan,nan
train,Chevron_Corporation,The_CocaCola_Company,1,1.5,0.0,2006-07-02 00:00:00,2006-12-31 00:00:00,2006-12-31 00:00:00,2007-07-01 00:00:00,46,5.61050415039,187.493663305,0.134936123726,0.139003666787
test,Chevron_Corporation,The_CocaCola_Company,1,1.5,0.0,2006-07-02 00:00:00,2006-12-31 00:00:00,2006-12-31 00:00:00,2007-07-01 00:00:00,46,2.42392730713,106.268805668,-0.0967472799114,-0.382026830921
train,Chevron_Corporation,The_CocaCola_Company,1,1.5,0.0,2006-12-31 00:00:00,2007-07-01 00:00:00,2007-07-01 00:00:00,2007-12-30 00:00:00,47,6.03302240372,236.432578711,0.203767556531,0.231178796998
