,runtype,series_X,series_Y,rank,entry_scale,exit_scale,train_start,train_end,test_start,test_end,returns,volatility,sharpe,sortino
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,0,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,223.7777557,79.66496049,-0.056135843,-0.128928722
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,0,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,-141.6935425,63.1994247,-0.040983704,-0.103559446
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,0,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,176.0856934,63.54200972,0.099698154,0.099616297
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,0,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,-425.2167969,156.7534061,-0.109565629,-0.315510509
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,0,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,237.0084229,79.8430192,-0.029555449,-0.068019259
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,0,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,275.7999878,107.4480375,-0.087152665,-0.813889712
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,0.5,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,200.4195557,69.65241537,-0.050408704,-0.113741129
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,0.5,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,-141.6935425,63.1994247,-0.040983704,-0.103559446
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,0.5,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,167.4750519,49.16316253,0.09939078,0.099311992
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,0.5,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,-425.2167969,156.7534061,-0.109565629,-0.315510509
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,0.5,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,210.4604034,72.83527162,-0.031589931,-0.07288719
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,0.5,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,252.1552277,97.58957157,-0.087998824,-0.824495987
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,1,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,259.971283,91.76842915,-0.028651295,-0.056949565
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,1,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,-141.6935425,63.1994247,-0.040983704,-0.103559446
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,1,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,226.3704681,85.48089351,0.130044771,0.129454828
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,1,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,-425.2167969,156.7534061,-0.109565629,-0.315510509
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,1,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,130.5964508,46.55970301,-0.035454905,-0.081824017
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,1,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,255.1993408,99.60997331,-0.088434809,-0.841931498
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,1.5,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,309.7327576,117.2235262,-0.04927858,-0.106387553
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,1.5,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,-141.6935425,63.1994247,-0.040983704,-0.103559446
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,1.5,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,164.4682312,72.84217019,0.127784439,0.127243361
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,1.5,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,-425.2167969,156.7534061,-0.109565629,-0.315510509
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,1.5,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,105.3683853,38.41420351,-0.036695873,-0.084537088
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,1.5,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,239.495224,94.41462459,-0.088522756,-0.832693248
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,2,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,504.8842773,189.0621139,-0.050230993,-0.11192054
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,2,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,-141.6935425,63.1994247,-0.040983704,-0.103559446
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,2,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,40.19525909,17.62529394,0.110656988,0.110525818
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,2,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,-425.2167969,156.7534061,-0.109565629,-0.315510509
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,2,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,84.86784363,29.99945124,-0.015274261,-0.025893362
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2,2,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,95.46943665,41.86734687,-0.09406667,-0.948287866
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,0,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,261.9458618,95.2766069,-0.061177548,-0.142141267
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,0,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,-125.0231476,58.2026291,0.144687514,0.147478106
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,0,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,84.22241211,20.6341214,0.09457887,0.094530037
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,0,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,-425.2167969,156.7534061,-0.109565629,-0.315510509
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,0,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,83.67438507,32.64459398,0.083434053,0.086385212
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,0,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,293.8744202,111.8890735,-0.072777029,-0.52947002
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,0.5,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,238.5876617,85.06389608,-0.061050258,-0.14166202
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,0.5,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,-125.0231476,58.2026291,0.144687514,0.147478106
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,0.5,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,107.7599869,21.39758603,0.09544984,0.095388109
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,0.5,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,-425.2167969,156.7534061,-0.109565629,-0.315510509
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,0.5,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,83.67438507,32.64459398,0.083434053,0.086385212
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,0.5,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,270.2296753,102.0076614,-0.073274549,-0.533239975
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,1,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,279.9803772,107.2111154,-0.062578296,-0.146091299
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,1,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,-125.0231476,58.2026291,0.144687514,0.147478106
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,1,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,84.78288269,15.47933203,0.094259878,0.094204691
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,1,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,-425.2167969,156.7534061,-0.109565629,-0.315510509
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,1,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,56.13821793,21.47343651,0.080311726,0.08317753
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,1,6/29/2010 0:00,12/28/2010 0:00,12/28/2010 0:00,6/28/2011 0:00,125.299118,53.04933344,-0.076965008,-0.570414144
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,1.5,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,246.998642,97.14860634,-0.063945781,-0.149415868
0,test,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,1.5,7/1/2008 0:00,12/30/2008 0:00,12/30/2008 0:00,6/30/2009 0:00,-125.0231476,58.2026291,0.144687514,0.147478106
0,train,Hargreaves_Lansdown_Plc,Smiths_Group_plc,1,2.5,1.5,12/30/2008 0:00,6/30/2009 0:00,6/30/2009 0:00,12/29/2009 0:00,45.73360062,10.96783091,0.091023106,0.090996134
