Time,Value,Signal_bs,Signal_enterExit
2010-12-22,19.448101043701172,hold,hold
2010-12-23,19.96140480041504,hold,hold
2010-12-27,19.63669776916504,hold,hold
2010-12-28,19.70297622680664,hold,hold
2010-12-29,19.82573127746582,hold,hold
2010-12-30,19.87137222290039,hold,hold
2010-12-31,20.11219024658203,hold,hold
2011-01-03,20.550779342651367,hold,hold
2011-01-04,21.146053314208984,hold,hold
2011-01-05,21.3693790435791,hold,hold
2011-01-06,22.741531372070312,hold,hold
2011-01-07,23.397457122802734,hold,hold
2011-01-10,23.19633674621582,hold,hold
2011-01-11,22.863134384155273,hold,hold
2011-01-12,23.475677490234375,hold,hold
2011-01-13,23.264842987060547,hold,hold
2011-01-14,23.067535400390625,hold,hold
2011-01-18,25.25730323791504,Exit,sell
2011-01-19,25.25730323791504,Exit,buy
2011-01-20,25.25730323791504,hold,hold
2011-01-21,25.25730323791504,hold,hold
2011-01-24,25.25730323791504,Exit,sell
2011-01-25,25.25730323791504,Exit,buy
2011-01-26,25.25730323791504,hold,hold
2011-01-27,25.25730323791504,hold,hold
2011-01-28,25.25730323791504,hold,hold
2011-01-31,25.25730323791504,hold,hold
2011-02-01,25.25730323791504,Enter,buy
2011-02-02,26.0877685546875,hold,hold
2011-02-03,25.92938995361328,hold,hold
2011-02-04,26.13945770263672,hold,hold
2011-02-07,26.290748596191406,hold,hold
2011-02-08,26.781936645507812,hold,hold
2011-02-09,27.268260955810547,hold,hold
2011-02-10,27.253637313842773,hold,hold
2011-02-11,26.435495376586914,hold,hold
2011-02-14,26.40260887145996,hold,hold
2011-02-15,25.776880264282227,Enter,buy
2011-02-16,26.432310104370117,hold,hold
2011-02-17,26.017053604125977,Enter,buy
2011-02-18,26.6607608795166,hold,hold
2011-02-22,25.89346694946289,Enter,buy
2011-02-23,25.595867156982422,hold,hold
2011-02-24,26.154464721679688,hold,hold
2011-02-25,27.00333595275879,hold,hold
2011-02-28,26.392488479614258,Enter,buy
2011-03-01,25.534095764160156,hold,hold
2011-03-02,24.918989181518555,hold,hold
2011-03-03,25.943458557128906,hold,hold
2011-03-04,26.46609115600586,hold,hold
2011-03-07,26.09281349182129,hold,hold
2011-03-08,26.665891647338867,hold,hold
2011-03-09,26.797025680541992,hold,hold
2011-03-10,27.159833908081055,hold,hold
2011-03-11,27.076499938964844,hold,hold
2011-03-14,26.5721378326416,Enter,buy
2011-03-15,26.226621627807617,hold,hold
2011-03-16,25.453035354614258,hold,hold
2011-03-17,25.27397918701172,hold,hold
2011-03-18,25.78652000427246,hold,hold
2011-03-21,26.922439575195312,hold,hold
2011-03-22,27.750232696533203,hold,hold
2011-03-23,28.410303115844727,Exit,sell
2011-03-24,28.410303115844727,hold,hold
2011-03-25,28.410303115844727,hold,hold
2011-03-28,28.410303115844727,hold,hold
2011-03-29,28.410303115844727,hold,hold
2011-03-30,28.410303115844727,hold,hold
2011-03-31,28.410303115844727,hold,hold
2011-04-01,28.410303115844727,hold,hold
2011-04-04,28.410303115844727,hold,hold
2011-04-05,28.410303115844727,Exit,buy
2011-04-06,28.410303115844727,hold,hold
2011-04-07,28.410303115844727,Exit,sell
2011-04-08,28.410303115844727,Exit,buy
2011-04-11,28.410303115844727,Exit,sell
2011-04-12,28.410303115844727,hold,hold
2011-04-13,28.410303115844727,Exit,buy
2011-04-14,28.410303115844727,hold,hold
2011-04-15,28.410303115844727,hold,hold
2011-04-18,28.410303115844727,Exit,sell
2011-04-19,28.410303115844727,hold,hold
2011-04-20,28.410303115844727,Enter,sell
2011-04-21,28.376726150512695,hold,hold
2011-04-25,28.79071617126465,hold,hold
2011-04-26,28.71116065979004,hold,hold
2011-04-27,28.550689697265625,hold,hold
2011-04-28,26.457948684692383,Enter,sell
2011-04-29,25.429031372070312,hold,hold
2011-05-02,25.55130386352539,hold,hold
2011-05-03,25.36396026611328,hold,hold
2011-05-04,25.584766387939453,hold,hold
2011-05-05,25.403955459594727,hold,hold
2011-05-06,24.8138370513916,hold,hold
2011-05-09,24.778339385986328,hold,hold
2011-05-10,24.96830177307129,hold,hold
2011-05-11,24.718576431274414,hold,hold
2011-05-12,24.704715728759766,hold,hold
2011-05-13,24.574304580688477,hold,hold
2011-05-16,25.410186767578125,hold,hold
2011-05-17,26.428098678588867,hold,hold
2011-05-18,26.515472412109375,Enter,sell
2011-05-19,25.80708885192871,hold,hold
2011-05-20,25.821468353271484,hold,hold
2011-05-23,26.294782638549805,hold,hold
2011-05-24,26.92565155029297,hold,hold
2011-05-25,26.394514083862305,hold,hold
2011-05-26,26.2998046875,hold,hold
2011-05-27,26.233657836914062,hold,hold
2011-05-31,25.86920928955078,hold,hold
2011-06-01,27.05767250061035,hold,hold
2011-06-02,26.65510368347168,hold,hold
2011-06-03,26.889049530029297,hold,hold
2011-06-06,26.50845718383789,hold,hold
2011-06-07,26.843015670776367,hold,hold
2011-06-08,26.910512924194336,hold,hold
2011-06-09,27.026018142700195,hold,hold
2011-06-10,27.633773803710938,hold,hold
2011-06-13,27.432086944580078,hold,hold
2011-06-14,26.535083770751953,hold,hold
2011-06-15,26.27315902709961,hold,hold
2011-06-16,26.223224639892578,hold,hold
2011-06-17,26.257211685180664,hold,hold
2011-06-20,26.2164249420166,hold,hold
2011-06-21,27.509902954101562,hold,hold
2011-06-22,28.91217803955078,hold,hold
2011-06-23,29.578107833862305,hold,hold
2011-06-24,28.889734268188477,hold,hold
2011-06-27,29.074853897094727,hold,hold
2011-06-28,29.371740341186523,hold,hold
2011-06-29,29.245840072631836,hold,hold
2011-06-30,28.692176818847656,hold,hold
2011-07-01,29.219945907592773,hold,hold
2011-07-05,29.25926399230957,hold,hold
2011-07-06,28.749662399291992,hold,hold
2011-07-07,28.180707931518555,hold,hold
2011-07-08,28.636104583740234,hold,hold
2011-07-11,29.19034194946289,hold,hold
2011-07-12,30.28665542602539,Exit,buy
2011-07-13,30.28665542602539,hold,hold
2011-07-14,30.28665542602539,hold,hold
2011-07-15,30.28665542602539,hold,hold
2011-07-18,30.28665542602539,hold,hold
2011-07-19,30.28665542602539,Enter,buy
2011-07-20,31.796772003173828,hold,hold
2011-07-21,31.777231216430664,hold,hold
2011-07-22,31.51224136352539,hold,hold
2011-07-25,30.544357299804688,hold,hold
2011-07-26,29.691816329956055,Enter,buy
2011-07-27,31.361083984375,hold,hold
2011-07-28,31.581298828125,hold,hold
2011-07-29,31.77947425842285,hold,hold
2011-08-01,31.890172958374023,hold,hold
2011-08-02,30.852676391601562,hold,hold
2011-08-03,30.21915626525879,Enter,buy
2011-08-04,28.865800857543945,hold,hold
2011-08-05,28.576902389526367,hold,hold
2011-08-08,28.309263229370117,hold,hold
2011-08-09,29.39715576171875,hold,hold
2011-08-10,27.380666732788086,hold,hold
2011-08-11,26.43219757080078,hold,hold
2011-08-12,28.944087982177734,hold,hold
2011-08-15,28.706571578979492,hold,hold
2011-08-16,28.775297164916992,hold,hold
2011-08-17,28.684362411499023,hold,hold
2011-08-18,27.944133758544922,hold,hold
2011-08-19,27.375810623168945,hold,hold
2011-08-22,28.172739028930664,hold,hold
2011-08-23,28.746015548706055,hold,hold
2011-08-24,28.938627243041992,hold,hold
2011-08-25,29.19484519958496,hold,hold
2011-08-26,30.044687271118164,hold,hold
2011-08-29,30.284605026245117,hold,hold
2011-08-30,31.536592483520508,hold,hold
2011-08-31,32.06749725341797,hold,hold
2011-09-01,31.939727783203125,hold,hold
2011-09-02,31.362247467041016,hold,hold
2011-09-06,30.535749435424805,hold,hold
2011-09-07,31.09115982055664,hold,hold
2011-09-08,29.644508361816406,Enter,buy
2011-09-09,30.09202003479004,hold,hold
2011-09-12,30.309621810913086,hold,hold
2011-09-13,30.27182960510254,hold,hold
2011-09-14,29.739200592041016,Enter,buy
2011-09-15,30.058326721191406,hold,hold
2011-09-16,30.76731300354004,hold,hold
2011-09-19,30.124601364135742,Enter,buy
2011-09-20,29.644750595092773,hold,hold
