short_win,long_win,start_evaluation,end_evaluation,returns,volatility,sharpe,sortino,maxDD_level,DD_level_start,DD_level_end,DD_level_length,maxDD_duration,DD_duration_start,DD_duration_end,DD_duration_length,ETL_5,ETL_1
5,30,2011-08-04,2011-09-03,0.06843960285186768,93.12455705477953,0.08570437435933721,0.10263697484574352,326.0,2011-08-08 00:00:00,2011-09-01 00:00:00,"-24 days, 0:00:00",326.0,2011-08-08 00:00:00,2011-09-02 00:00:00,"-25 days, 0:00:00",-110.70001220703125,
5,30,2011-07-05,2011-08-04,0.09564435482025146,80.160914541587,0.1465912780474165,0.17321373568344006,269.0,2011-07-08 00:00:00,2011-07-27 00:00:00,"-19 days, 0:00:00",269.0,2011-07-08 00:00:00,2011-08-04 00:00:00,"-27 days, 0:00:00",-83.29998779296875,
5,30,2011-06-05,2011-07-05,-0.0195004940032959,52.14431599575674,0.02623118297131111,0.035896039369779684,157.89996337890625,2011-06-20 00:00:00,2011-07-04 00:00:00,"-14 days, 0:00:00",157.89996337890625,2011-06-20 00:00:00,2011-07-05 00:00:00,"-15 days, 0:00:00",-80.0,
5,30,2011-05-06,2011-06-05,1.0520758628845215,54.69106243608542,0.24406002670252827,0.26978330879604273,127.29998779296875,2011-05-25 00:00:00,2011-05-31 00:00:00,"-6 days, 0:00:00",127.29998779296875,2011-05-25 00:00:00,2011-06-03 00:00:00,"-9 days, 0:00:00",-73.49998474121094,
5,30,2011-04-06,2011-05-06,-0.1480388641357422,47.004241345997364,0.08183740143028863,0.1040364540988853,190.60000610351562,2011-04-11 00:00:00,2011-04-19 00:00:00,"-8 days, 0:00:00",190.60000610351562,2011-04-11 00:00:00,2011-05-06 00:00:00,"-25 days, 0:00:00",-74.69999694824219,
5,30,2011-03-07,2011-04-06,0.7011985778808594,88.97016629973125,0.21463708365338427,0.25667212396061767,302.79998779296875,2011-03-15 00:00:00,2011-03-30 00:00:00,"-15 days, 0:00:00",302.79998779296875,2011-03-15 00:00:00,2011-04-06 00:00:00,"-22 days, 0:00:00",-77.39999389648438,
5,30,2011-02-05,2011-03-07,-0.07398974895477295,42.79409891821189,0.0739833056276709,0.0925304248852268,137.5,2011-02-18 00:00:00,2011-03-04 00:00:00,"-14 days, 0:00:00",137.5,2011-02-18 00:00:00,2011-03-07 00:00:00,"-17 days, 0:00:00",-55.80000305175781,
5,30,2011-01-06,2011-02-05,1.0722081661224365,42.25397976958965,0.2698529408651983,0.30312965317614454,94.19999694824219,2011-01-19 00:00:00,2011-01-31 00:00:00,"-12 days, 0:00:00",94.19999694824219,2011-01-19 00:00:00,2011-02-03 00:00:00,"-15 days, 0:00:00",-52.19999694824219,
5,30,2010-12-07,2011-01-06,0.12147974967956543,24.725278682010526,0.10876977594216225,0.1427940979161465,67.30000305175781,2010-12-23 00:00:00,2011-01-05 00:00:00,"-13 days, 0:00:00",67.30000305175781,2010-12-23 00:00:00,2011-01-06 00:00:00,"-14 days, 0:00:00",-39.80000305175781,
5,30,2010-11-07,2010-12-07,-0.5297763347625732,49.09156247798582,-0.08758129009860162,-0.13188791483900275,190.5,2010-11-08 00:00:00,2010-12-06 00:00:00,"-28 days, 0:00:00",190.5,2010-11-08 00:00:00,2010-12-07 00:00:00,"-29 days, 0:00:00",-85.0,
